file_path,hex_count,inline_style_count,sample_snippets,remediation_priority
"components/student/progress/ProgressFilters.tsx",2,0,"className=""min-h-[44px] rounded-lg border border-gray-200 dark:border-slate-600 bg-white dark:bg-slate-800 text-sm text-gray-800 dark:text-gray-100 px-3 pr-8 py-2 focus:outline-none focus:ring-2 focus:ring-[#534AB7]"" | ? 'bg-[#534AB7] text-white'","low"
"components/student/progress/ScoreTrendGraph.tsx",4,0,"* Brand primary #534AB7 for the line and dots; neutral greys for grid/labels. | const PRIMARY = '#534AB7'; | const LABEL = '#9CA3AF';","medium"
"components/student/progress/SessionsChart.tsx",1,1,"? 'bg-[#534AB7]'","low"
"components/student/progress/TestScoreHistory.tsx",5,0,"className=""inline-flex items-center min-h-[44px] text-sm font-medium text-[#534AB7] dark:text-[#9B96E0] underline"" | ? 'text-[#1D9E75] font-semibold' | ? 'text-[#BA7517] font-semibold'","medium"
"components/student/revision/RevisionFlow.tsx",44,1,"className=""inline-flex items-center justify-center rounded-xl bg-[#534AB7] text-white text-sm font-semibold px-6 min-h-[44px]"" | <div className=""w-full rounded-2xl bg-[#EAF3DE] dark:bg-[#1D9E75]/10 p-5 text-center""> | <p className=""text-base font-semibold text-[#1D9E75] mb-1"">","high"
"components/student/session/AITutorChatPanel.tsx",16,0,"className=""shrink-0 min-h-[36px] rounded-full border border-[#534AB7]/30 dark:border-[#534AB7]/50 bg-[#EEEDFE] dark:bg-[#534AB7]/10 px-3 text-xs font-medium text-[#534AB7] dark:text-indigo-300 hover:bg-[#534AB7]/15 active:scale-95 disabled:opacity-40 disabled:cursor-not-allowed transition-all whitespace-nowrap"" | <span className=""shrink-0 rounded-full bg-[#EEEDFE] dark:bg-[#534AB7]/20 px-2.5 py-0.5 text-xs font-semibold text-[#534AB7] dark:text-indigo-300""> | className=""min-h-[44px] px-3 text-xs font-semibold text-[#534AB7] dark:text-indigo-300 disabled:cursor-not-allowed disabled:text-gray-400 dark:disabled:text-gray-600""","high"
"components/student/session/InterruptedSessionSheet.tsx",7,0,"className=""flex items-center gap-4 w-full min-h-[56px] px-4 rounded-xl border-2 border-[#534AB7] bg-[#EEEDFE] dark:bg-[#534AB7]/15 text-left transition-colors hover:bg-[#534AB7]/10 disabled:opacity-60"" | <span className=""text-[#534AB7] text-lg shrink-0"">▶</span> | <p className=""text-sm font-semibold text-[#534AB7] dark:text-indigo-300"">","medium"
"components/student/session/PreSessionScreen.tsx",20,1,"'bg-[#EAF3DE] text-[#1D9E75] dark:bg-[#1D9E75]/15 dark:text-green-300', | 'bg-[#FAEEDA] text-[#BA7517] dark:bg-[#BA7517]/15 dark:text-amber-300', | 'bg-[#FCEBEB] text-[#E24B4A] dark:bg-[#E24B4A]/15 dark:text-red-300',","high"
"components/student/session/SessionCompletionScreen.tsx",33,0,"const CONFETTI_COLORS = ['#534AB7', '#1D9E75', '#BA7517', '#E24B4A', '#F5C842', '#60A5FA']; | <div className=""relative overflow-hidden rounded-2xl bg-gradient-to-br from-[#534AB7] to-[#6D63D4] px-5 pt-8 pb-6 text-center text-white""> | <div className=""flex h-20 w-20 items-center justify-center rounded-full border-4 border-[#534AB7] bg-[#EEEDFE] dark:bg-[#534AB7]/20"">","high"
"components/student/session/SessionRatingModal.tsx",2,0,"className=""mt-1 w-full rounded-lg border border-gray-300 bg-white px-3 py-2 text-sm text-gray-900 placeholder:text-gray-400 focus:outline-none focus:ring-2 focus:ring-[#534AB7]"" | className=""rounded-lg bg-[#534AB7] px-4 py-2 text-sm font-semibold text-white shadow-sm disabled:cursor-not-allowed disabled:bg-gray-300""","low"
"components/student/session/VisualHintRenderer.tsx",8,0,"<circle cx={cx} cy={cy} r={r} fill=""#EEEDFE"" stroke=""#534AB7"" /> | <text x={cx} y={cy + r + 3} fontSize={3.5} textAnchor=""middle"" fill=""#3C3489""> | <rect x={x} y={y} width={w} height={h} fill=""#EAF3DE"" stroke=""#1D9E75"" />","medium"
"components/student/session/WhiteboardPanel.tsx",12,2,"const DEFAULT_PENCIL_COLORS = ['#1a1a1a', '#534AB7', '#E24B4A', '#1D9E75', '#BA7517']; | const resolved = ['#1a1a1a', primary, error, success, warning]; | aiCtx.strokeStyle = stroke.color ?? '#1a1a1a';","high"
"components/student/subscription/PaymentMethodSelector.tsx",7,0,"'w-full text-left rounded-xl border px-4 py-3 min-h-[44px] flex items-center gap-3 transition-colors focus:outline-none focus-visible:ring-2 focus-visible:ring-[#534AB7]', | ? 'border-[#534AB7] bg-[#EEEDFE] dark:bg-[#534AB7]/20 dark:border-[#534AB7]' | ? 'border-[#534AB7] bg-[#534AB7]'","medium"
"components/student/subscription/UpgradeFlow.tsx",4,0,"theme: { color: '#F97316' }, | className=""w-full min-h-[44px] rounded-xl bg-[#534AB7] text-sm font-semibold text-white hover:bg-[#4338a3] transition-colors focus:outline-none focus-visible:ring-2 focus-visible:ring-[#534AB7]""","medium"
